,Country,Year,Lat,Long,Age,Population,Population Men,Population Women
0,Argentina,2005,-38.416097,-63.616672,0 to 4,3402249.0,1740638.0,1661611.0
1,Argentina,2005,-38.416097,-63.616672,5 to 9,3513068.0,1791301.0,1721767.0
2,Argentina,2005,-38.416097,-63.616672,10 to 14,3520157.0,1789180.0,1730977.0
3,Argentina,2005,-38.416097,-63.616672,15 to 19,3414681.0,1728130.0,1686551.0
4,Argentina,2005,-38.416097,-63.616672,20 to 24,3223812.0,1619059.0,1604753.0
5,Argentina,2005,-38.416097,-63.616672,25 to 29,3246273.0,1620064.0,1626209.0
6,Argentina,2005,-38.416097,-63.616672,30 to 34,2674944.0,1330572.0,1344372.0
7,Argentina,2005,-38.416097,-63.616672,35 to 39,2398270.0,1187558.0,1210712.0
8,Argentina,2005,-38.416097,-63.616672,40 to 44,2249167.0,1103050.0,1146117.0
9,Argentina,2005,-38.416097,-63.616672,45 to 49,2112598.0,1016500.0,1096098.0
10,Argentina,2005,-38.416097,-63.616672,50 to 54,1972582.0,956636.0,1015946.0
11,Argentina,2005,-38.416097,-63.616672,55 to 59,1710529.0,819139.0,891390.0
12,Argentina,2005,-38.416097,-63.616672,60 to 64,1450018.0,682954.0,767064.0
13,Argentina,2005,-38.416097,-63.616672,65 to 69,1209896.0,545323.0,664573.0
14,Argentina,2005,-38.416097,-63.616672,70 to 74,1014719.0,433008.0,581711.0
15,Argentina,2005,-38.416097,-63.616672,75 to 79,795658.0,315663.0,479995.0
16,Argentina,2005,-38.416097,-63.616672,80 to 84,515206.0,179471.0,335735.0
17,Argentina,2005,-38.416097,-63.616672,85 and over,309579.0,92999.0,216580.0
18,Argentina,2006,-38.416097,-63.616672,0 to 4,3435442.0,1759837.0,1675605.0
19,Argentina,2006,-38.416097,-63.616672,5 to 9,3511877.0,1791947.0,1719930.0
20,Argentina,2006,-38.416097,-63.616672,10 to 14,3524506.0,1791687.0,1732819.0
21,Argentina,2006,-38.416097,-63.616672,15 to 19,3443224.0,1741721.0,1701503.0
22,Argentina,2006,-38.416097,-63.616672,20 to 24,3247979.0,1630071.0,1617908.0
23,Argentina,2006,-38.416097,-63.616672,25 to 29,3230235.0,1611132.0,1619103.0
24,Argentina,2006,-38.416097,-63.616672,30 to 34,2757205.0,1370136.0,1387069.0
25,Argentina,2006,-38.416097,-63.616672,35 to 39,2457806.0,1215619.0,1242187.0
26,Argentina,2006,-38.416097,-63.616672,40 to 44,2268558.0,1112209.0,1156349.0
27,Argentina,2006,-38.416097,-63.616672,45 to 49,2132119.0,1028320.0,1103799.0
28,Argentina,2006,-38.416097,-63.616672,50 to 54,1990230.0,964689.0,1025541.0
29,Argentina,2006,-38.416097,-63.616672,55 to 59,1742611.0,834457.0,908154.0
30,Argentina,2006,-38.416097,-63.616672,60 to 64,1484090.0,698752.0,785338.0
31,Argentina,2006,-38.416097,-63.616672,65 to 69,1228253.0,554853.0,673400.0
32,Argentina,2006,-38.416097,-63.616672,70 to 74,1017555.0,435361.0,582194.0
33,Argentina,2006,-38.416097,-63.616672,75 to 79,798111.0,317437.0,480674.0
34,Argentina,2006,-38.416097,-63.616672,80 to 84,525240.0,183815.0,341425.0
35,Argentina,2006,-38.416097,-63.616672,85 and over,332198.0,99271.0,232927.0
36,Argentina,2007,-38.416097,-63.616672,0 to 4,3468964.0,1779247.0,1689717.0
37,Argentina,2007,-38.416097,-63.616672,5 to 9,3510688.0,1792593.0,1718095.0
38,Argentina,2007,-38.416097,-63.616672,10 to 14,3528859.0,1794197.0,1734662.0
39,Argentina,2007,-38.416097,-63.616672,15 to 19,3472007.0,1755419.0,1716588.0
40,Argentina,2007,-38.416097,-63.616672,20 to 24,3272327.0,1641157.0,1631170.0
41,Argentina,2007,-38.416097,-63.616672,25 to 29,3214274.0,1602247.0,1612027.0
42,Argentina,2007,-38.416097,-63.616672,30 to 34,2842001.0,1410877.0,1431124.0
43,Argentina,2007,-38.416097,-63.616672,35 to 39,2518826.0,1244344.0,1274482.0
44,Argentina,2007,-38.416097,-63.616672,40 to 44,2288117.0,1121444.0,1166673.0
45,Argentina,2007,-38.416097,-63.616672,45 to 49,2151831.0,1040277.0,1111554.0
46,Argentina,2007,-38.416097,-63.616672,50 to 54,2008036.0,972809.0,1035227.0
47,Argentina,2007,-38.416097,-63.616672,55 to 59,1775295.0,850060.0,925235.0
48,Argentina,2007,-38.416097,-63.616672,60 to 64,1518960.0,714914.0,804046.0
49,Argentina,2007,-38.416097,-63.616672,65 to 69,1246895.0,564550.0,682345.0
50,Argentina,2007,-38.416097,-63.616672,70 to 74,1020403.0,437726.0,582677.0
51,Argentina,2007,-38.416097,-63.616672,75 to 79,800574.0,319221.0,481353.0
52,Argentina,2007,-38.416097,-63.616672,80 to 84,535476.0,188264.0,347212.0
53,Argentina,2007,-38.416097,-63.616672,85 and over,355907.0,105851.0,250056.0
54,Argentina,2008,-38.416097,-63.616672,0 to 4,3502818.0,1798871.0,1703947.0
55,Argentina,2008,-38.416097,-63.616672,5 to 9,3509503.0,1793239.0,1716264.0
56,Argentina,2008,-38.416097,-63.616672,10 to 14,3533219.0,1796711.0,1736508.0
57,Argentina,2008,-38.416097,-63.616672,15 to 19,3501032.0,1769226.0,1731806.0
58,Argentina,2008,-38.416097,-63.616672,20 to 24,3296859.0,1652318.0,1644541.0
59,Argentina,2008,-38.416097,-63.616672,25 to 29,3198394.0,1593412.0,1604982.0
