,Species,Country,Latitude,Longitude,Number of endangered indigenous species,Total number of known species,Number of critically endangered indigenous species,Number of endangered species,Number of vulnerable species,Threatened species as % of known species,Total number of indigenous threatened species,Threatened indigenous species as % of indigenous spec.,Total number of indigenous known species,Total number of threatened species,Number of vulnerable indigenous species,Number of critically endangered species
0,Mammals,Australia,-25.274398,133.775136,38.0,380.0,10.0,38.0,59.0,28.61,107.0,30.747,353.0,107.0,59.0,10.0
6,Mammals,Austria,47.516231,14.550072,6.0,101.0,4.0,6.0,17.0,26.733,27.0,26.733,101.0,27.0,17.0,4.0
15,Mammals,Belgium,50.503887,4.469936,2.0,84.0,4.0,2.0,12.0,21.429,18.0,27.692,65.0,18.0,12.0,4.0
24,Mammals,Canada,56.130366,-106.346771,10.0,221.0,11.0,10.0,31.0,23.529,52.0,24.88,209.0,52.0,31.0,11.0
31,Mammals,Czech Republic,49.817492,15.472962,1.0,95.0,10.0,1.0,4.0,16.304,15.0,16.304,92.0,15.0,4.0,10.0
37,Mammals,Denmark,56.26392,9.501785,2.0,71.0,1.0,2.0,6.0,16.418,10.0,18.966,54.0,9.0,6.0,1.0
46,Mammals,Finland,61.92411,25.748151,4.0,75.0,1.0,4.0,2.0,9.333,7.0,10.448,67.0,7.0,2.0,1.0
55,Mammals,France,46.227638,2.213749,,125.0,,4.0,10.0,13.6,,,,17.0,,3.0
60,Mammals,Germany,51.165691,10.451526,10.0,107.0,7.0,10.0,22.0,34.409,39.0,37.647,98.0,39.0,22.0,7.0
69,Mammals,Greece,39.074208,21.824312,13.0,115.0,3.0,13.0,13.0,25.217,29.0,25.664,113.0,29.0,13.0,3.0
78,Mammals,Hungary,47.162494,19.503304,3.0,87.0,5.0,3.0,6.0,16.092,14.0,18.421,76.0,14.0,6.0,5.0
87,Mammals,Iceland,64.963051,-19.020835,,4.0,,,,,,,,,,
88,Mammals,Ireland,53.41291,-8.24389,,57.0,,,1.0,1.754,,,46.0,1.0,,
92,Mammals,Italy,41.87194,12.56738,,126.0,,8.0,13.0,18.254,,,,23.0,,2.0
97,Mammals,Japan,36.204824,138.252924,,160.0,,12.0,9.0,20.625,,,,34.0,,13.0
102,Mammals,Korea,,,0.0,125.0,0.0,4.0,9.0,11.2,0.0,,1.0,14.0,0.0,1.0
111,Mammals,Mexico,23.634501,-102.552784,20.0,564.0,7.0,50.0,91.0,26.773,82.0,51.852,162.0,150.0,55.0,9.0
120,Mammals,Netherlands,52.132633,5.291266,3.0,53.0,2.0,3.0,6.0,20.755,11.0,20.755,53.0,11.0,6.0,2.0
125,Mammals,New Zealand,-40.900557,174.885971,2.0,65.0,6.0,,,,10.0,27.027,37.0,,2.0,
130,Mammals,Norway,60.472024,8.468946,5.0,89.0,5.0,5.0,7.0,19.101,17.0,23.288,73.0,17.0,7.0,5.0
139,Mammals,Poland,51.919438,19.145136,10.0,112.0,2.0,10.0,1.0,11.712,13.0,13.131,100.0,13.0,1.0,2.0
148,Mammals,Portugal,39.399872,-8.224454,7.0,158.0,11.0,7.0,13.0,19.62,31.0,28.704,108.0,31.0,13.0,11.0
157,Mammals,Slovak Republic,,,6.0,90.0,2.0,6.0,12.0,22.222,20.0,23.529,85.0,20.0,12.0,2.0
166,Mammals,Spain,40.463667,-3.74922,6.0,174.0,2.0,6.0,18.0,14.943,26.0,,,26.0,18.0,2.0
174,Mammals,Sweden,60.128161,18.643501,3.0,65.0,5.0,3.0,6.0,21.538,14.0,21.538,65.0,14.0,6.0,5.0
183,Mammals,Switzerland,46.818188,8.227512,13.0,93.0,5.0,13.0,16.0,36.559,34.0,41.975,81.0,34.0,16.0,5.0
192,Mammals,Turkey,38.963745,35.243322,,173.0,,,,14.286,,,,23.0,,
194,Mammals,United Kingdom,55.378051,-3.435973,4.0,107.0,2.0,4.0,5.0,11.11,11.0,,62.0,11.0,5.0,2.0
203,Mammals,Chile,-35.675147,-71.542969,13.0,185.0,3.0,13.0,20.0,19.459,36.0,22.222,162.0,36.0,20.0,3.0
210,Mammals,Estonia,58.595272,25.013607,1.0,66.0,2.0,1.0,,4.545,3.0,5.0,60.0,3.0,,2.0
215,Mammals,Israel,31.046051,34.851612,27.0,,15.0,,,,61.0,58.095,105.0,,19.0,
219,Mammals,Russia,61.52401,105.318756,,,,,,,,,,34.0,,
220,Mammals,Slovenia,46.151241,14.995463,19.0,89.0,,19.0,15.0,38.202,34.0,,,34.0,15.0,
226,Birds,Australia,-25.274398,133.775136,55.0,799.0,17.0,55.0,63.0,17.092,135.0,17.471,782.0,135.0,63.0,17.0
235,Birds,Austria,47.516231,14.550072,24.0,213.0,14.0,24.0,28.0,30.986,66.0,30.986,213.0,66.0,28.0,14.0
244,Birds,Belgium,50.503887,4.469936,15.0,198.0,20.0,15.0,20.0,27.778,55.0,30.899,178.0,55.0,20.0,20.0
253,Birds,Canada,56.130366,-106.346771,14.0,674.0,26.0,14.0,48.0,13.056,88.0,13.253,664.0,88.0,48.0,26.0
260,Birds,Czech Republic,49.817492,15.472962,35.0,237.0,35.0,35.0,45.0,43.498,115.0,43.498,223.0,115.0,45.0,35.0
266,Birds,Denmark,56.26392,9.501785,15.0,241.0,24.0,15.0,45.0,16.268,84.0,16.268,202.0,84.0,45.0,24.0
